Id,ManagementAreaId,SampleDate,Fat,Protein,ES,EQ,Bacteria,SomaticCellCount,Urea,FreezingPoint,Breed,Species,Target
1402,750,2022-04-18,4.66,3.85,8.51,8.51,0,1288,486.0,0.569,Malagueña,Cabra,Treatment
1403,750,2022-04-16,4.47,3.93,8.4,8.4,0,1117,562.0,0.57,Malagueña,Cabra,Treatment
1404,750,2022-04-14,4.46,3.91,8.37,8.370000000000001,56,1062,514.0,0.571,Malagueña,Cabra,Treatment
1405,750,2022-04-12,4.57,3.87,8.44,8.440000000000001,0,1176,537.0,0.568,Malagueña,Cabra,Treatment
1406,750,2022-04-10,4.31,3.91,8.22,8.219999999999999,0,1010,561.0,0.57,Malagueña,Cabra,Treatment
1407,750,2022-04-08,4.6,3.98,8.58,8.58,112,1161,543.0,0.579,Malagueña,Cabra,Treatment
1408,750,2022-04-06,4.74,3.91,8.65,8.65,0,1233,516.0,0.57,Malagueña,Cabra,Treatment
1409,750,2022-04-04,4.81,3.94,8.75,8.75,0,1044,570.0,0.572,Malagueña,Cabra,Treatment
1410,750,2022-04-02,5.31,3.96,9.27,9.27,0,1182,485.0,0.577,Malagueña,Cabra,Treatment
1411,750,2022-04-01,5.06,3.91,8.97,8.969999999999999,40,917,476.0,0.575,Malagueña,Cabra,Treatment
1412,750,2022-03-29,5.28,3.92,9.2,9.2,76,1059,475.0,0.581,Malagueña,Cabra,Treatment
1413,750,2022-03-27,5.15,3.91,9.06,9.06,0,1302,365.0,0.571,Malagueña,Cabra,Treatment
1414,750,2022-03-25,4.83,3.88,8.71,8.71,64,950,374.0,0.584,Malagueña,Cabra,Treatment
1415,1524,2022-04-18,4.06,3.39,7.45,7.449999999999999,0,1981,511.0,0.554,Florida,Cabra,Treatment
1416,1524,2022-04-14,4.25,3.45,7.7,7.7,43,1235,515.0,0.547,Florida,Cabra,Treatment
1417,1524,2022-04-12,4.3,3.37,7.67,7.67,0,1052,535.0,0.549,Florida,Cabra,Treatment
1418,1524,2022-04-10,3.94,3.41,7.35,7.35,0,1032,535.0,0.552,Florida,Cabra,Treatment
1419,1524,2022-04-08,4.04,3.51,7.55,7.55,52,1098,510.0,0.556,Florida,Cabra,Treatment
1420,1524,2022-04-06,4.97,3.48,8.45,8.45,0,1244,500.0,0.557,Florida,Cabra,Treatment
1421,1524,2022-04-04,3.78,3.47,7.25,7.25,0,1299,459.0,0.551,Florida,Cabra,Treatment
1422,1524,2022-04-02,3.99,3.4,7.39,7.390000000000001,0,1153,467.0,0.551,Florida,Cabra,Treatment
1423,1524,2022-04-01,4.53,3.42,7.95,7.95,80,1250,542.0,0.562,Florida,Cabra,Treatment
1424,1524,2022-03-29,4.15,3.39,7.54,7.540000000000001,61,902,524.0,0.559,Florida,Cabra,Treatment
1425,1524,2022-03-26,4.64,3.48,8.12,8.12,0,1763,553.0,0.561,Florida,Cabra,Treatment
1426,1524,2022-03-25,4.75,3.55,8.3,8.3,0,1981,484.0,0.56,Florida,Cabra,Treatment
1448,750,2022-04-22,4.36,3.82,8.18,8.18,0,1297,467.0,0.562,Malagueña,Cabra,Treatment
1450,1524,2022-04-22,4.79,3.5,8.29,8.29,0,2953,547.0,0.554,Florida,Cabra,Treatment
1451,1524,2022-04-20,3.16,3.44,6.6,6.6,202,1795,512.0,0.553,Florida,Cabra,Veterinarian intervention
1453,1524,2022-04-23,4.03,3.38,7.41,7.41,0,1613,554.0,0.552,Florida,Cabra,Treatment
1466,1524,2022-05-02,4.19,3.47,7.66,7.66,28,1481,477.0,0.558,Florida,Cabra,Treatment
1468,1524,2022-05-05,3.43,3.5,6.93,6.93,0,1574,540.0,0.547,Florida,Cabra,Treatment
1476,1524,2022-05-08,3.2,3.44,6.64,6.640000000000001,0,1337,475.0,0.552,Florida,Cabra,Veterinarian intervention
1477,1524,2022-05-06,4.06,3.58,7.64,7.64,0,1813,494.0,0.568,Florida,Cabra,Treatment
1478,1524,2022-05-05,3.99,3.51,7.5,7.5,0,1848,350.0,0.569,Florida,Cabra,Veterinarian intervention
1528,1524,2022-06-07,4.66,3.34,8.0,8.0,46,2750,314.0,0.564,Florida,Cabra,Veterinarian intervention
1558,750,2022-06-25,4.48,3.49,7.97,7.970000000000001,0,1254,439.0,0.565,Malagueña,Cabra,Treatment
1559,750,2022-06-23,4.52,3.52,8.04,8.04,27,1342,464.0,0.573,Malagueña,Cabra,Treatment
1560,1524,2022-06-25,4.16,3.67,7.83,7.83,27,3645,489.0,0.569,Florida,Cabra,Veterinarian intervention
1632,1524,2022-07-07,4.21,3.6,7.81,7.8100000000000005,118,3042,572.0,0.563,Florida,Cabra,Treatment
1633,1524,2022-07-05,4.2,3.46,7.66,7.66,46,2895,575.0,0.557,Florida,Cabra,Treatment
1634,1524,2022-07-03,3.75,3.55,7.3,7.3,54,3228,547.0,0.567,Florida,Cabra,Treatment
1640,750,2022-07-13,4.74,3.57,8.31,8.31,22,1656,511.0,0.562,Malagueña,Cabra,Treatment
1641,750,2022-07-11,4.54,3.42,7.96,7.96,0,1226,460.0,0.561,Malagueña,Cabra,Treatment
1621,750,2022-07-03,4.44,3.52,7.96,7.960000000000001,0,1146,493.0,0.56,Malagueña,Cabra,Treatment
1642,1524,2022-07-13,4.05,3.46,7.51,7.51,248,2775,634.0,0.548,Florida,Cabra,Veterinarian intervention
1643,1524,2022-07-11,3.32,3.53,6.85,6.85,47,3333,635.0,0.554,Florida,Cabra,Veterinarian intervention
1709,750,2022-07-19,4.4,3.55,7.95,7.95,42,1588,462.0,0.564,Malagueña,Cabra,Treatment
1449,750,2022-04-24,4.15,3.84,7.99,7.99,0,1231,511.0,0.562,Malagueña,Cabra,Treatment
1455,750,2022-04-26,4.36,3.92,8.28,8.280000000000001,67,1214,516.0,0.578,Malagueña,Cabra,Treatment
1456,1524,2022-04-26,4.46,3.49,7.95,7.95,37,1721,524.0,0.562,Florida,Cabra,Treatment
1460,750,2022-04-30,4.08,3.82,7.9,7.9,0,1142,439.0,0.571,Malagueña,Cabra,Treatment
1461,750,2022-04-28,4.39,3.86,8.25,8.25,56,1088,484.0,0.568,Malagueña,Cabra,Treatment
1462,1524,2022-04-30,3.5,3.47,6.97,6.970000000000001,0,1540,462.0,0.563,Florida,Cabra,Treatment
1463,1524,2022-04-29,3.55,3.46,7.01,7.01,84,1509,460.0,0.556,Florida,Cabra,Treatment
1464,1524,2022-04-28,3.69,3.57,7.26,7.26,8740,2186,447.0,0.58,Florida,Cabra,Veterinarian intervention
1481,750,2022-05-10,4.23,3.72,7.95,7.950000000000001,78,1160,478.0,0.561,Malagueña,Cabra,Treatment
1482,1524,2022-05-10,3.36,3.37,6.73,6.73,68,1921,421.0,0.552,Florida,Cabra,Treatment
1512,750,2022-05-28,4.16,3.73,7.89,7.890000000000001,0,1304,487.0,0.562,Malagueña,Cabra,Treatment
1513,750,2022-05-26,4.23,3.71,7.94,7.94,42,1447,482.0,0.566,Malagueña,Cabra,Treatment
1514,1524,2022-05-28,3.82,3.26,7.08,7.08,20,2854,504.0,0.553,Florida,Cabra,Treatment
1629,750,2022-07-05,4.61,3.52,8.13,8.13,0,1760,513.0,0.557,Malagueña,Cabra,Treatment
1710,750,2022-07-16,4.49,3.53,8.02,8.02,0,1289,537.0,0.566,Malagueña,Cabra,Treatment
1711,1524,2022-07-19,4.05,3.38,7.43,7.43,24,3417,550.0,0.547,Florida,Cabra,Veterinarian intervention
1712,1524,2022-07-17,4.04,3.37,7.41,7.41,28,2359,605.0,0.555,Florida,Cabra,Veterinarian intervention
1715,750,2022-07-23,4.42,3.54,7.96,7.96,0,1284,442.0,0.561,Malagueña,Cabra,Treatment
1716,750,2022-07-21,4.46,3.54,8.0,8.0,0,1624,458.0,0.567,Malagueña,Cabra,Treatment
1721,1524,2022-07-23,4.04,3.54,7.58,7.58,31,4756,579.0,0.552,Florida,Cabra,Veterinarian intervention
1722,1524,2022-07-21,4.16,3.42,7.58,7.58,28,3335,566.0,0.552,Florida,Cabra,Veterinarian intervention
1723,1892,2022-07-25,1.37,2.29,6.13,3.66,102,1902,346.0,0.356,Payoya,Cabra,Veterinarian intervention
1737,1892,2022-08-01,4.04,3.25,8.67,7.29,17,1176,569.0,0.552,Payoya,Cabra,Treatment
1759,1524,2022-08-15,3.97,3.53,7.5,7.5,129,7449,539.0,0.543,Florida,Cabra,Veterinarian intervention
1858,1867,2022-09-05,6.61,4.9,10.68,11.510000000000002,35,1184,0.0,0.575,Assaf,Oveja,Treatment
1859,1867,2022-09-03,4.38,3.36,8.48,7.74,45,1659,0.0,0.56,Assaf,Oveja,Veterinarian intervention
1740,750,2022-08-02,4.29,3.57,7.86,7.859999999999999,40,1745,367.0,0.57,Malagueña,Cabra,Treatment
1741,1524,2022-08-04,4.07,3.51,7.58,7.58,430,6344,446.0,0.546,Florida,Cabra,Veterinarian intervention
1742,1524,2022-08-02,4.25,3.46,7.71,7.71,44,6148,483.0,0.545,Florida,Cabra,Veterinarian intervention
1816,750,2022-08-22,4.97,3.67,8.64,8.64,0,1451,365.0,0.577,Malagueña,Cabra,Treatment
1817,1524,2022-08-22,4.2,3.45,7.65,7.65,41,5019,551.0,0.542,Florida,Cabra,Veterinarian intervention
1818,1867,2022-08-24,5.84,4.71,10.43,10.55,33,1180,0.0,0.555,Assaf,Oveja,Treatment
1819,1867,2022-08-23,5.91,4.7,10.45,10.61,431,1137,0.0,0.56,Assaf,Oveja,Veterinarian intervention
1820,1867,2022-08-22,6.08,4.73,10.52,10.81,70,1157,0.0,0.567,Assaf,Oveja,Treatment
1821,1892,2022-08-22,4.36,3.39,8.76,7.75,24,1386,636.0,0.554,Payoya,Cabra,Treatment
1952,1867,2022-09-29,6.57,5.17,10.65,11.74,177,1325,0.0,0.564,Assaf,Oveja,Veterinarian intervention
1953,1867,2022-09-28,6.36,5.14,10.64,11.5,30,1115,0.0,0.571,Assaf,Oveja,Treatment
1833,1894,2022-08-26,3.59,3.38,8.48,6.97,14,2203,714.0,0.566,Payoya,Cabra,Veterinarian intervention
1834,1894,2022-08-25,3.46,3.35,8.43,6.8100000000000005,19,2375,658.0,0.564,Payoya,Cabra,Veterinarian intervention
1835,1894,2022-08-21,3.67,3.36,8.44,7.029999999999999,18,1830,669.0,0.563,Payoya,Cabra,Veterinarian intervention
1836,1894,2022-08-19,3.35,3.46,8.59,6.8100000000000005,22,2769,632.0,0.567,Payoya,Cabra,Veterinarian intervention
1837,1524,2022-08-28,4.02,3.55,7.57,7.569999999999999,79,6790,491.0,0.549,Florida,Cabra,Veterinarian intervention
1838,1867,2022-08-27,5.8,4.73,10.49,10.530000000000001,23,1131,0.0,0.566,Assaf,Oveja,Treatment
1839,1867,2022-08-25,5.79,4.67,10.34,10.46,26,1090,0.0,0.555,Assaf,Oveja,Treatment
1840,1894,2022-08-29,3.64,3.34,8.43,6.98,23,2434,680.0,0.562,Payoya,Cabra,Veterinarian intervention
1841,750,2022-08-30,5.17,3.73,8.9,8.9,84,1931,374.0,0.573,Malagueña,Cabra,Treatment
1842,1524,2022-08-31,4.24,3.53,7.77,7.77,93,10776,454.0,0.549,Florida,Cabra,Veterinarian intervention
1843,1867,2022-08-31,6.05,4.66,10.41,10.71,47,1489,0.0,0.564,Assaf,Oveja,Treatment
1844,1867,2022-08-30,5.55,4.61,10.45,10.16,677,5375,0.0,0.576,Assaf,Oveja,Veterinarian intervention
1845,1867,2022-08-29,6.23,4.73,10.52,10.96,28,1309,0.0,0.573,Assaf,Oveja,Treatment
1954,1867,2022-09-26,6.52,5.15,10.78,11.67,31,1210,0.0,0.577,Assaf,Oveja,Treatment
1955,1893,2022-09-26,5.0,3.67,8.5,8.67,321,2978,627.0,0.546,Payoya,Cabra,Veterinarian intervention
1860,1867,2022-09-01,6.11,4.67,10.4,10.780000000000001,37,1038,0.0,0.571,Assaf,Oveja,Treatment
1861,1524,2022-09-03,4.34,3.57,7.91,7.91,118,7613,503.0,0.537,Florida,Cabra,Veterinarian intervention
1865,750,2022-09-07,5.28,3.88,9.16,9.16,45,2066,432.0,0.564,Malagueña,Cabra,Treatment
1866,750,2022-09-05,5.3,3.95,9.25,9.25,0,2341,423.0,0.562,Malagueña,Cabra,Veterinarian intervention
1878,1894,2022-09-04,3.58,3.39,8.37,6.970000000000001,22,3239,666.0,0.558,Payoya,Cabra,Veterinarian intervention
1470,750,2022-05-04,4.01,3.78,7.79,7.789999999999999,95,973,478.0,0.567,Malagueña,Cabra,Treatment
1471,750,2022-05-03,4.04,3.83,7.87,7.87,84,1090,451.0,0.569,Malagueña,Cabra,Treatment
1604,750,2022-06-29,4.66,3.56,8.22,8.22,0,1607,491.0,0.561,Malagueña,Cabra,Treatment
1605,750,2022-06-27,4.53,3.57,8.1,8.1,157,1229,502.0,0.573,Malagueña,Cabra,Treatment
1606,1524,2022-06-29,3.69,3.82,7.51,7.51,299,7954,374.0,0.563,Florida,Cabra,Veterinarian intervention
1607,1524,2022-06-27,5.42,3.44,8.86,8.86,31,2652,414.0,0.574,Florida,Cabra,Treatment
1635,750,2022-07-09,4.43,3.49,7.92,7.92,0,1279,422.0,0.567,Malagueña,Cabra,Treatment
1636,750,2022-07-07,4.4,3.47,7.87,7.870000000000001,22,1340,472.0,0.57,Malagueña,Cabra,Treatment
1637,1524,2022-07-09,4.07,3.44,7.51,7.51,33,2746,611.0,0.56,Florida,Cabra,Veterinarian intervention
1707,1524,2022-07-15,3.93,3.44,7.37,7.37,28,3238,532.0,0.556,Florida,Cabra,Treatment
1745,750,2022-08-06,4.2,3.57,7.77,7.77,0,1739,374.0,0.567,Malagueña,Cabra,Treatment
1746,750,2022-08-04,4.27,3.57,7.84,7.84,0,1584,382.0,0.563,Malagueña,Cabra,Treatment
1747,1524,2022-08-06,3.95,3.44,7.39,7.390000000000001,94,7431,435.0,0.535,Florida,Cabra,Veterinarian intervention
1748,1892,2022-08-08,3.97,3.24,8.67,7.210000000000001,34,1216,586.0,0.558,Payoya,Cabra,Treatment
1749,1894,2022-08-05,3.14,3.22,8.35,6.36,18,2562,572.0,0.564,Payoya,Cabra,Veterinarian intervention
1808,750,2022-08-20,4.87,3.62,8.49,8.49,57,1432,334.0,0.568,Malagueña,Cabra,Treatment
1809,750,2022-08-18,4.68,3.62,8.3,8.3,0,1531,386.0,0.567,Malagueña,Cabra,Treatment
1947,1892,2022-09-19,4.83,3.6,9.03,8.43,24,1416,568.0,0.558,Payoya,Cabra,Treatment
1890,750,2022-09-17,5.99,4.0,9.99,9.99,0,2338,468.0,0.57,Malagueña,Cabra,Veterinarian intervention
1891,750,2022-09-15,5.65,3.89,9.54,9.540000000000001,0,2354,399.0,0.566,Malagueña,Cabra,Veterinarian intervention
1892,1524,2022-09-15,4.23,3.61,7.84,7.84,189,7140,504.0,0.525,Florida,Cabra,Veterinarian intervention
1969,750,2022-10-05,6.12,4.43,10.55,10.55,0,2129,483.0,0.574,Malagueña,Cabra,Veterinarian intervention
1970,750,2022-10-03,5.77,4.31,10.08,10.079999999999998,0,1750,506.0,0.575,Malagueña,Cabra,Treatment
1902,750,2022-09-21,5.71,4.07,9.78,9.780000000000001,0,3666,456.0,0.567,Malagueña,Cabra,Veterinarian intervention
1903,750,2022-09-19,5.73,3.92,9.65,9.65,38,1890,425.0,0.565,Malagueña,Cabra,Treatment
1904,1867,2022-09-21,6.32,4.96,10.41,11.280000000000001,168,1295,0.0,0.563,Assaf,Oveja,Veterinarian intervention
1905,1867,2022-09-20,6.39,4.99,10.5,11.379999999999999,200,1384,0.0,0.566,Assaf,Oveja,Veterinarian intervention
1971,1524,2022-10-05,5.37,3.85,9.22,9.22,34,3838,527.0,0.539,Florida,Cabra,Veterinarian intervention
1972,1524,2022-10-03,5.37,3.58,8.95,8.95,46,3589,467.0,0.532,Florida,Cabra,Veterinarian intervention
1912,1894,2022-09-19,3.8,3.57,8.68,7.369999999999999,14,3064,653.0,0.56,Payoya,Cabra,Veterinarian intervention
1518,750,2022-06-01,4.19,3.75,7.94,7.94,77,1221,489.0,0.565,Malagueña,Cabra,Treatment
1519,750,2022-05-31,4.27,3.73,8.0,8.0,89,1339,482.0,0.567,Malagueña,Cabra,Treatment
1520,1524,2022-06-01,3.34,3.46,6.8,6.8,46,1330,514.0,0.561,Florida,Cabra,Treatment
1521,1524,2022-05-30,3.35,3.39,6.74,6.74,0,1596,505.0,0.551,Florida,Cabra,Treatment
1547,750,2022-06-19,4.14,3.41,7.55,7.55,0,1229,445.0,0.559,Malagueña,Cabra,Treatment
1548,750,2022-06-17,4.33,3.46,7.79,7.79,0,1301,431.0,0.571,Malagueña,Cabra,Treatment
1549,1524,2022-06-16,3.84,3.37,7.21,7.21,18,1913,532.0,0.565,Florida,Cabra,Treatment
1550,1524,2022-06-15,3.61,3.4,7.01,7.01,192,2004,538.0,0.571,Florida,Cabra,Veterinarian intervention
1736,1894,2022-07-29,3.35,3.24,8.41,6.59,17,2185,583.0,0.565,Payoya,Cabra,Veterinarian intervention
1739,1894,2022-08-01,3.62,3.21,8.36,6.83,16,1851,594.0,0.563,Payoya,Cabra,Treatment
1752,1894,2022-08-08,3.29,3.26,8.34,6.55,19,3372,541.0,0.562,Payoya,Cabra,Veterinarian intervention
1757,1524,2022-08-12,3.93,3.46,7.39,7.390000000000001,0,4769,494.0,0.554,Florida,Cabra,Veterinarian intervention
1758,1524,2022-08-10,4.08,3.59,7.67,7.67,0,5669,473.0,0.558,Florida,Cabra,Veterinarian intervention
1762,750,2022-08-16,4.55,3.56,8.11,8.11,0,1776,418.0,0.56,Malagueña,Cabra,Treatment
1763,750,2022-08-14,4.44,3.59,8.03,8.030000000000001,57,1605,413.0,0.566,Malagueña,Cabra,Treatment
1764,750,2022-08-12,4.41,3.57,7.98,7.98,0,1562,393.0,0.561,Malagueña,Cabra,Treatment
1765,1867,2022-08-18,5.88,4.65,10.41,10.530000000000001,55,1198,0.0,0.558,Assaf,Oveja,Treatment
1766,1867,2022-08-17,5.39,4.34,9.78,9.73,33,990,0.0,0.521,Assaf,Oveja,Treatment
1767,1867,2022-08-15,5.97,4.61,10.49,10.58,29,1201,0.0,0.569,Assaf,Oveja,Treatment
1768,1867,2022-08-13,5.55,4.3,9.78,9.85,26,986,0.0,0.522,Assaf,Oveja,Treatment
1769,1867,2022-08-11,5.94,4.57,10.34,10.510000000000002,50,1419,0.0,0.559,Assaf,Oveja,Treatment
1770,1867,2022-08-10,5.69,4.21,9.68,9.9,66,900,0.0,0.517,Assaf,Oveja,Treatment
1771,1867,2022-08-09,6.08,4.41,10.13,10.49,41,789,0.0,0.546,Assaf,Oveja,Treatment
1772,1867,2022-08-08,5.95,4.58,10.44,10.530000000000001,25,1022,0.0,0.568,Assaf,Oveja,Treatment
1773,1867,2022-08-06,5.59,4.54,10.33,10.129999999999999,39,1035,0.0,0.559,Assaf,Oveja,Treatment
1774,1867,2022-08-04,5.88,4.46,10.18,10.34,39,1005,639.0,0.556,Assaf,Oveja,Veterinarian intervention
1775,1867,2022-08-03,5.85,4.55,10.26,10.399999999999999,30,1222,0.0,0.554,Assaf,Oveja,Treatment
1776,1867,2022-08-02,5.79,4.54,10.23,10.33,30,1118,0.0,0.554,Assaf,Oveja,Treatment
1777,1867,2022-08-01,5.95,4.66,10.45,10.61,28,844,0.0,0.565,Assaf,Oveja,Treatment
1778,1867,2022-07-29,5.84,4.64,10.49,10.48,35,1020,0.0,0.57,Assaf,Oveja,Treatment
1779,1867,2022-07-28,6.14,4.59,10.42,10.73,32,1407,0.0,0.566,Assaf,Oveja,Treatment
1780,1867,2022-07-27,6.07,4.43,10.31,10.5,30,1234,0.0,0.565,Assaf,Oveja,Treatment
1781,1867,2022-07-26,5.87,4.36,10.26,10.23,27,0,0.0,0.564,Assaf,Oveja,Treatment
1782,1867,2022-07-25,6.05,4.57,10.53,10.620000000000001,31,0,0.0,0.575,Assaf,Oveja,Treatment
2025,1524,2022-10-30,4.79,3.28,8.07,8.07,0,2800,423.0,0.56,Florida,Cabra,Treatment
2026,1867,2022-10-31,6.33,4.88,10.5,11.21,37,1526,0.0,0.571,Assaf,Oveja,Treatment
2027,1867,2022-10-29,6.15,4.82,10.43,10.97,35,1158,0.0,0.576,Assaf,Oveja,Treatment
2028,1867,2022-10-27,6.11,4.79,10.3,10.9,26,1089,0.0,0.561,Assaf,Oveja,Treatment
2029,1892,2022-10-31,5.02,3.77,9.24,8.79,0,1483,530.0,0.561,Payoya,Cabra,Treatment
2030,1893,2022-10-31,4.39,3.5,8.68,7.89,0,1647,548.0,0.551,Payoya,Cabra,Treatment
2031,750,2022-11-02,6.45,4.4,10.85,10.850000000000001,51,2729,323.0,0.57,Malagueña,Cabra,Veterinarian intervention
2032,750,2022-11-01,6.06,4.14,10.2,10.2,59,1593,317.0,0.562,Malagueña,Cabra,Treatment
2033,1867,2022-11-02,6.34,4.78,10.27,11.120000000000001,42,1247,0.0,0.56,Assaf,Oveja,Treatment
2034,1894,2022-11-02,4.21,3.83,8.94,8.04,41,3096,695.0,0.558,Payoya,Cabra,Veterinarian intervention
2035,1894,2022-10-27,4.67,3.39,8.86,8.06,20,1631,763.0,0.555,Payoya,Cabra,Veterinarian intervention
2036,1894,2022-10-23,4.03,3.82,8.96,7.85,31,2484,623.0,0.555,Payoya,Cabra,Veterinarian intervention
2037,1524,2022-11-02,3.85,3.27,7.12,7.12,59,2770,368.0,0.542,Florida,Cabra,Veterinarian intervention
2038,750,2022-11-06,6.61,4.37,10.98,10.98,0,2428,333.0,0.563,Malagueña,Cabra,Veterinarian intervention
2039,750,2022-11-04,6.37,4.25,10.62,10.620000000000001,0,2229,311.0,0.571,Malagueña,Cabra,Veterinarian intervention
2040,1524,2022-11-05,3.81,3.23,7.04,7.04,29,1906,344.0,0.524,Florida,Cabra,Veterinarian intervention
2051,1898,2022-11-11,5.13,3.69,8.82,8.82,31,1535,0.0,0.557,Florida,Cabra,Treatment
2052,1898,2022-11-09,5.41,3.74,9.15,9.15,0,1185,0.0,0.561,Florida,Cabra,Treatment
2053,1898,2022-11-07,5.37,3.71,9.08,9.08,30,1364,0.0,0.561,Florida,Cabra,Treatment
2054,1898,2022-11-05,5.4,3.84,9.24,9.24,0,800,0.0,0.554,Florida,Cabra,Treatment
2055,1898,2022-11-03,5.33,4.01,9.34,9.34,0,1331,0.0,0.567,Florida,Cabra,Treatment
2056,1898,2022-11-01,5.64,4.24,9.88,9.879999999999999,29,1808,0.0,0.562,Florida,Cabra,Treatment
