Id,ManagementAreaId,SampleDate,EQ,SomaticCellCount,Fat,Protein,Bacteria,Urea,ES,FreezingPoint,Breed,Species,Target
1726,750,2022-07-25,8.14,2977,4.56,3.58,43,479.0,8.14,0.553,Malagueña,Goat,Veterinarian intervention
1732,750,2022-07-31,7.7299999999999995,1400,4.14,3.59,0,424.0,7.73,0.564,Malagueña,Goat,1.0
1735,750,2022-07-29,7.82,1381,4.2,3.62,53,424.0,7.82,0.563,Malagueña,Goat,1.0
1753,750,2022-08-10,8.01,1666,4.4,3.61,0,462.0,8.01,0.561,Malagueña,Goat,1.0
1754,750,2022-08-08,7.9,1438,4.25,3.65,36,407.0,7.9,0.573,Malagueña,Goat,1.0
1401,750,2022-04-20,8.28,1273,4.47,3.81,69,468.0,8.28,0.568,Malagueña,Goat,1.0
1402,750,2022-04-18,8.51,1288,4.66,3.85,0,486.0,8.51,0.569,Malagueña,Goat,1.0
1403,750,2022-04-16,8.4,1117,4.47,3.93,0,562.0,8.4,0.57,Malagueña,Goat,1.0
1404,750,2022-04-14,8.370000000000001,1062,4.46,3.91,56,514.0,8.37,0.571,Malagueña,Goat,1.0
1405,750,2022-04-12,8.440000000000001,1176,4.57,3.87,0,537.0,8.44,0.568,Malagueña,Goat,1.0
1406,750,2022-04-10,8.219999999999999,1010,4.31,3.91,0,561.0,8.22,0.57,Malagueña,Goat,1.0
1407,750,2022-04-08,8.58,1161,4.6,3.98,112,543.0,8.58,0.579,Malagueña,Goat,1.0
1408,750,2022-04-06,8.65,1233,4.74,3.91,0,516.0,8.65,0.57,Malagueña,Goat,1.0
1409,750,2022-04-04,8.75,1044,4.81,3.94,0,570.0,8.75,0.572,Malagueña,Goat,1.0
1410,750,2022-04-02,9.27,1182,5.31,3.96,0,485.0,9.27,0.577,Malagueña,Goat,1.0
1411,750,2022-04-01,8.969999999999999,917,5.06,3.91,40,476.0,8.97,0.575,Malagueña,Goat,1.0
1412,750,2022-03-29,9.2,1059,5.28,3.92,76,475.0,9.2,0.581,Malagueña,Goat,1.0
1413,750,2022-03-27,9.06,1302,5.15,3.91,0,365.0,9.06,0.571,Malagueña,Goat,1.0
1414,750,2022-03-25,8.71,950,4.83,3.88,64,374.0,8.71,0.584,Malagueña,Goat,1.0
1448,750,2022-04-22,8.18,1297,4.36,3.82,0,467.0,8.18,0.562,Malagueña,Goat,1.0
1558,750,2022-06-25,7.970000000000001,1254,4.48,3.49,0,439.0,7.97,0.565,Malagueña,Goat,1.0
1559,750,2022-06-23,8.04,1342,4.52,3.52,27,464.0,8.04,0.573,Malagueña,Goat,1.0
1640,750,2022-07-13,8.31,1656,4.74,3.57,22,511.0,8.31,0.562,Malagueña,Goat,1.0
1641,750,2022-07-11,7.96,1226,4.54,3.42,0,460.0,7.96,0.561,Malagueña,Goat,1.0
1621,750,2022-07-03,7.960000000000001,1146,4.44,3.52,0,493.0,7.96,0.56,Malagueña,Goat,1.0
1709,750,2022-07-19,7.95,1588,4.4,3.55,42,462.0,7.95,0.564,Malagueña,Goat,1.0
1449,750,2022-04-24,7.99,1231,4.15,3.84,0,511.0,7.99,0.562,Malagueña,Goat,1.0
1455,750,2022-04-26,8.280000000000001,1214,4.36,3.92,67,516.0,8.28,0.578,Malagueña,Goat,1.0
1460,750,2022-04-30,7.9,1142,4.08,3.82,0,439.0,7.9,0.571,Malagueña,Goat,1.0
1461,750,2022-04-28,8.25,1088,4.39,3.86,56,484.0,8.25,0.568,Malagueña,Goat,1.0
1481,750,2022-05-10,7.950000000000001,1160,4.23,3.72,78,478.0,7.95,0.561,Malagueña,Goat,1.0
1512,750,2022-05-28,7.890000000000001,1304,4.16,3.73,0,487.0,7.89,0.562,Malagueña,Goat,1.0
1513,750,2022-05-26,7.94,1447,4.23,3.71,42,482.0,7.94,0.566,Malagueña,Goat,1.0
1629,750,2022-07-05,8.13,1760,4.61,3.52,0,513.0,8.13,0.557,Malagueña,Goat,1.0
1710,750,2022-07-16,8.02,1289,4.49,3.53,0,537.0,8.02,0.566,Malagueña,Goat,1.0
1715,750,2022-07-23,7.96,1284,4.42,3.54,0,442.0,7.96,0.561,Malagueña,Goat,1.0
1716,750,2022-07-21,8.0,1624,4.46,3.54,0,458.0,8.0,0.567,Malagueña,Goat,1.0
1740,750,2022-08-02,7.859999999999999,1745,4.29,3.57,40,367.0,7.86,0.57,Malagueña,Goat,1.0
1816,750,2022-08-22,8.64,1451,4.97,3.67,0,365.0,8.64,0.577,Malagueña,Goat,1.0
1841,750,2022-08-30,8.9,1931,5.17,3.73,84,374.0,8.9,0.573,Malagueña,Goat,1.0
1865,750,2022-09-07,9.16,2066,5.28,3.88,45,432.0,9.16,0.564,Malagueña,Goat,1.0
1866,750,2022-09-05,9.25,2341,5.3,3.95,0,423.0,9.25,0.562,Malagueña,Goat,Veterinarian intervention
1470,750,2022-05-04,7.789999999999999,973,4.01,3.78,95,478.0,7.79,0.567,Malagueña,Goat,1.0
1471,750,2022-05-03,7.87,1090,4.04,3.83,84,451.0,7.87,0.569,Malagueña,Goat,1.0
1604,750,2022-06-29,8.22,1607,4.66,3.56,0,491.0,8.22,0.561,Malagueña,Goat,1.0
1605,750,2022-06-27,8.1,1229,4.53,3.57,157,502.0,8.1,0.573,Malagueña,Goat,1.0
1635,750,2022-07-09,7.92,1279,4.43,3.49,0,422.0,7.92,0.567,Malagueña,Goat,1.0
1636,750,2022-07-07,7.870000000000001,1340,4.4,3.47,22,472.0,7.87,0.57,Malagueña,Goat,1.0
1745,750,2022-08-06,7.77,1739,4.2,3.57,0,374.0,7.77,0.567,Malagueña,Goat,1.0
1746,750,2022-08-04,7.84,1584,4.27,3.57,0,382.0,7.84,0.563,Malagueña,Goat,1.0
1808,750,2022-08-20,8.49,1432,4.87,3.62,57,334.0,8.49,0.568,Malagueña,Goat,1.0
1809,750,2022-08-18,8.3,1531,4.68,3.62,0,386.0,8.3,0.567,Malagueña,Goat,1.0
1890,750,2022-09-17,9.99,2338,5.99,4.0,0,468.0,9.99,0.57,Malagueña,Goat,Veterinarian intervention
1891,750,2022-09-15,9.540000000000001,2354,5.65,3.89,0,399.0,9.54,0.566,Malagueña,Goat,Veterinarian intervention
1969,750,2022-10-05,10.55,2129,6.12,4.43,0,483.0,10.55,0.574,Malagueña,Goat,Veterinarian intervention
1970,750,2022-10-03,10.079999999999998,1750,5.77,4.31,0,506.0,10.08,0.575,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1902,750,2022-09-21,9.780000000000001,3666,5.71,4.07,0,456.0,9.78,0.567,Malagueña,Goat,Veterinarian intervention
1903,750,2022-09-19,9.65,1890,5.73,3.92,38,425.0,9.65,0.565,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1518,750,2022-06-01,7.94,1221,4.19,3.75,77,489.0,7.94,0.565,Malagueña,Goat,1.0
1519,750,2022-05-31,8.0,1339,4.27,3.73,89,482.0,8.0,0.567,Malagueña,Goat,1.0
1547,750,2022-06-19,7.55,1229,4.14,3.41,0,445.0,7.55,0.559,Malagueña,Goat,1.0
1548,750,2022-06-17,7.79,1301,4.33,3.46,0,431.0,7.79,0.571,Malagueña,Goat,1.0
1762,750,2022-08-16,8.11,1776,4.55,3.56,0,418.0,8.11,0.56,Malagueña,Goat,1.0
1763,750,2022-08-14,8.030000000000001,1605,4.44,3.59,57,413.0,8.03,0.566,Malagueña,Goat,1.0
1764,750,2022-08-12,7.98,1562,4.41,3.57,0,393.0,7.98,0.561,Malagueña,Goat,1.0
2031,750,2022-11-02,10.850000000000001,2729,6.45,4.4,51,323.0,10.85,0.57,Malagueña,Goat,Veterinarian intervention
2032,750,2022-11-01,10.2,1593,6.06,4.14,59,317.0,10.2,0.562,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2038,750,2022-11-06,10.98,2428,6.61,4.37,0,333.0,10.98,0.563,Malagueña,Goat,Veterinarian intervention
2039,750,2022-11-04,10.620000000000001,2229,6.37,4.25,0,311.0,10.62,0.571,Malagueña,Goat,Veterinarian intervention
2069,750,2022-11-16,12.07,3636,7.49,4.58,112,452.0,12.07,0.581,Malagueña,Goat,Veterinarian intervention
2070,750,2022-11-14,11.65,2879,7.21,4.44,0,430.0,11.65,0.575,Malagueña,Goat,Veterinarian intervention
2141,750,2022-12-04,10.48,1572,6.21,4.27,0,495.0,10.48,0.557,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2142,750,2022-12-02,11.350000000000001,2151,6.78,4.57,42,452.0,11.35,0.569,Malagueña,Goat,Veterinarian intervention
2158,750,2022-12-11,10.39,2053,5.95,4.44,0,489.0,10.39,0.572,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2159,750,2022-12-09,10.39,2048,6.01,4.38,102,477.0,10.39,0.576,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2175,750,2022-12-18,10.23,1653,5.58,4.65,0,506.0,10.23,0.57,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2190,750,2022-12-26,9.370000000000001,1218,5.3,4.07,0,503.0,9.37,0.571,Malagueña,Goat,1.0
2191,750,2022-12-24,10.02,1257,5.77,4.25,150,521.0,10.02,0.561,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2192,750,2022-12-22,10.170000000000002,1386,5.73,4.44,0,531.0,10.17,0.56,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2208,750,2023-01-01,10.02,1208,5.93,4.09,70,492.0,10.02,0.563,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2209,750,2022-12-30,9.940000000000001,1446,5.75,4.19,0,531.0,9.94,0.556,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2218,750,2023-01-07,10.09,1374,6.07,4.02,131,441.0,10.09,0.555,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2219,750,2023-01-05,8.72,1217,4.69,4.03,0,415.0,8.72,0.568,Malagueña,Goat,1.0
2224,750,2023-01-11,9.57,1090,5.63,3.94,0,477.0,9.57,0.565,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2225,750,2023-01-09,10.06,1342,6.03,4.03,0,475.0,10.06,0.564,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2232,750,2023-01-15,9.51,863,5.5,4.01,0,475.0,9.51,0.554,Malagueña,Goat,No treatment
2233,750,2023-01-13,9.8,1406,5.7,4.1,36,484.0,9.8,0.559,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2242,750,2023-01-17,9.96,1164,5.94,4.02,34,439.0,9.96,0.571,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2280,750,2023-01-31,9.66,1208,5.56,4.1,0,480.0,9.66,0.568,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2185,750,2022-12-20,10.079999999999998,1523,5.52,4.56,0,551.0,10.08,0.563,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2201,750,2022-12-28,9.82,1222,5.72,4.1,237,483.0,9.82,0.554,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2262,750,2023-01-25,9.530000000000001,1171,5.48,4.05,47,474.0,9.53,0.563,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2263,750,2023-01-23,9.68,968,5.62,4.06,0,494.0,9.68,0.57,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2308,750,2023-02-08,9.67,1101,5.47,4.2,23,439.0,9.67,0.566,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2213,750,2023-01-03,9.6,949,5.67,3.93,0,512.0,9.6,0.56,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2252,750,2023-01-21,9.84,882,5.75,4.09,0,486.0,9.84,0.571,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2253,750,2023-01-19,9.76,1094,5.7,4.06,0,464.0,9.76,0.572,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2271,750,2023-01-27,9.52,851,5.45,4.07,0,530.0,9.52,0.567,Malagueña,Goat,No treatment
2515,750,2023-02-18,9.98,1370,5.43,4.55,0,541.0,9.98,0.564,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2516,750,2023-02-16,9.45,1303,5.23,4.22,0,493.0,9.45,0.567,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2391,750,2023-02-12,9.76,1263,5.37,4.39,0,519.0,9.76,0.576,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2392,750,2023-02-10,9.72,1209,5.48,4.24,0,503.0,9.72,0.57,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2533,750,2023-02-22,10.36,1306,5.65,4.71,0,467.0,10.36,0.564,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2534,750,2023-02-20,10.370000000000001,1730,5.44,4.93,0,550.0,10.37,0.572,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2300,750,2023-02-06,9.52,943,5.31,4.21,0,478.0,9.52,0.567,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2301,750,2023-02-04,9.469999999999999,1119,5.25,4.22,0,497.0,9.47,0.569,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2302,750,2023-02-02,9.23,1150,5.17,4.06,22,492.0,9.23,0.571,Malagueña,Goat,1.0
2800,750,2023-04-03,8.17,982,4.54,3.63,0,507.0,8.17,0.564,Malagueña,Goat,1.0
2795,750,2023-04-05,8.190000000000001,869,4.53,3.66,0,447.0,8.19,0.567,Malagueña,Goat,1.0
2846,750,2023-04-11,8.33,1086,4.7,3.63,0,452.0,8.33,0.558,Malagueña,Goat,1.0
2949,750,2023-04-23,7.82,980,4.2,3.62,0,621.0,7.82,0.561,Malagueña,Goat,1.0
2950,750,2023-04-21,7.859999999999999,1077,4.22,3.64,0,546.0,7.86,0.558,Malagueña,Goat,1.0
2958,750,2023-04-25,8.0,1125,4.29,3.71,19,443.0,8.0,0.564,Malagueña,Goat,1.0
2976,750,2023-04-29,7.95,1285,4.25,3.7,29,437.0,7.95,0.567,Malagueña,Goat,1.0
2977,750,2023-04-27,8.12,1186,4.34,3.78,0,483.0,8.12,0.565,Malagueña,Goat,1.0
2875,750,2023-04-15,8.09,891,4.51,3.58,0,435.0,8.09,0.563,Malagueña,Goat,1.0
2995,750,2023-05-03,7.83,1245,4.23,3.6,0,538.0,7.83,0.556,Malagueña,Goat,1.0
3024,750,2023-05-07,7.8,1175,4.29,3.51,52,581.0,7.8,0.552,Malagueña,Goat,1.0
2879,750,2023-04-13,8.08,923,4.4,3.68,24,507.0,8.08,0.57,Malagueña,Goat,1.0
2983,750,2023-05-01,7.82,1142,4.2,3.62,30,477.0,7.82,0.56,Malagueña,Goat,1.0
3025,750,2023-05-05,7.86,1207,4.24,3.62,0,544.0,7.86,0.548,Malagueña,Goat,1.0
3129,750,2023-05-21,7.98,1410,4.36,3.62,0,561.0,7.98,0.557,Malagueña,Goat,1.0
3135,750,2023-05-19,7.93,1737,4.39,3.54,19,527.0,7.93,0.562,Malagueña,Goat,1.0
3181,750,2023-05-29,8.25,1481,4.67,3.58,19,400.0,8.25,0.563,Malagueña,Goat,1.0
3182,750,2023-05-27,8.4,1541,4.76,3.64,0,365.0,8.4,0.566,Malagueña,Goat,1.0
3183,750,2023-05-25,8.42,1684,4.69,3.73,26,382.0,8.42,0.57,Malagueña,Goat,1.0
3442,750,2023-06-02,8.15,1005,4.6,3.55,16,525.0,13.39,0.556,Malagueña,Goat,1.0
3443,750,2023-06-04,8.11,1464,4.55,3.56,17,572.0,13.21,0.556,Malagueña,Goat,1.0
3444,750,2023-06-06,8.23,1590,4.66,3.57,14,499.0,13.3,0.555,Malagueña,Goat,1.0
3445,750,2023-06-08,8.13,1435,4.61,3.52,16,489.0,13.2,0.554,Malagueña,Goat,1.0
3446,750,2023-06-10,8.52,1373,5.03,3.49,22,430.0,13.65,0.556,Malagueña,Goat,Veterinarian intervention
3447,750,2023-06-12,8.26,1433,4.78,3.48,24,539.0,13.36,0.552,Malagueña,Goat,1.0
3448,750,2023-06-14,8.27,1885,4.78,3.49,21,577.0,13.35,0.553,Malagueña,Goat,1.0
3449,750,2023-06-16,8.24,1525,4.78,3.46,14,578.0,13.24,0.55,Malagueña,Goat,1.0
3450,750,2023-06-18,8.12,1731,4.56,3.56,15,602.0,13.09,0.556,Malagueña,Goat,1.0
3451,750,2023-06-20,8.24,1788,4.66,3.58,29,571.0,13.22,0.559,Malagueña,Goat,1.0
3452,750,2023-06-22,8.16,2242,4.58,3.58,26,452.0,13.26,0.563,Malagueña,Goat,Veterinarian intervention
3453,750,2023-06-24,8.01,2104,4.46,3.55,61,501.0,13.1,0.558,Malagueña,Goat,Veterinarian intervention
3454,750,2023-06-26,7.91,1687,4.34,3.57,35,506.0,12.97,0.555,Malagueña,Goat,1.0
3455,750,2023-06-28,7.92,2010,4.39,3.53,12,492.0,12.89,0.555,Malagueña,Goat,1.0
3456,750,2023-06-30,7.85,1579,4.35,3.5,35,470.0,12.87,0.553,Malagueña,Goat,1.0
3457,750,2023-07-02,7.81,1636,4.27,3.54,17,478.0,12.83,0.56,Malagueña,Goat,1.0
3458,750,2023-07-04,7.79,1647,4.3,3.49,11,530.0,12.76,0.56,Malagueña,Goat,1.0
3491,750,2023-07-06,7.84,1549,4.39,3.45,18,530.0,12.8,0.552,Malagueña,Goat,1.0
3492,750,2023-07-08,7.77,1648,4.32,3.45,15,539.0,12.72,0.558,Malagueña,Goat,1.0
3529,750,2023-07-10,7.78,1469,4.24,3.54,16,517.0,12.75,0.556,Malagueña,Goat,1.0
3530,750,2023-07-12,7.91,1133,4.5,3.41,24,540.0,12.83,0.551,Malagueña,Goat,1.0
3602,750,2023-07-14,7.56,1090,4.22,3.34,10,528.0,12.52,0.556,Malagueña,Goat,1.0
3608,750,2023-07-17,7.69,1158,4.34,3.35,27,451.0,12.64,0.551,Malagueña,Goat,1.0
3803,750,2023-08-01,8.02,1792,4.44,3.58,48,471.0,12.93,0.557,Malagueña,Goat,1.0
1535,750,2022-06-15,8.12,1612,4.56,3.56,45,442.0,8.12,0.573,Malagueña,Goat,1.0
1536,750,2022-06-13,8.06,1168,4.5,3.56,0,449.0,8.06,0.574,Malagueña,Goat,1.0
2001,750,2022-10-19,10.879999999999999,2803,6.56,4.32,103,424.0,10.88,0.571,Malagueña,Goat,Veterinarian intervention
2002,750,2022-10-17,10.620000000000001,2500,6.39,4.23,0,402.0,10.62,0.57,Malagueña,Goat,Veterinarian intervention
2017,750,2022-10-25,10.47,1750,6.19,4.28,95,359.0,10.47,0.576,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2023,750,2022-10-29,10.1,1387,5.96,4.14,0,348.0,10.1,0.572,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2046,750,2022-11-08,10.829999999999998,3393,6.27,4.56,162,439.0,10.83,0.583,Malagueña,Goat,Veterinarian intervention
1815,750,2022-08-24,8.62,1516,4.97,3.65,0,338.0,8.62,0.563,Malagueña,Goat,1.0
1826,750,2022-08-28,8.66,1753,4.99,3.67,0,398.0,8.66,0.562,Malagueña,Goat,1.0
1827,750,2022-08-26,8.48,1611,4.84,3.64,31,338.0,8.48,0.568,Malagueña,Goat,1.0
1986,750,2022-10-11,10.629999999999999,1946,6.27,4.36,0,420.0,10.63,0.567,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1646,750,2022-07-17,7.79,1337,4.28,3.51,0,487.0,7.79,0.568,Malagueña,Goat,1.0
1624,750,2022-07-01,7.92,1148,4.4,3.52,17,474.0,7.92,0.563,Malagueña,Goat,1.0
1647,750,2022-07-15,8.02,1289,4.49,3.53,0,537.0,8.02,0.566,Malagueña,Goat,1.0
1850,750,2022-09-03,9.02,2111,5.21,3.81,0,336.0,9.02,0.563,Malagueña,Goat,Veterinarian intervention
1854,750,2022-09-01,8.99,2067,5.25,3.74,41,345.0,8.99,0.565,Malagueña,Goat,1.0
1913,750,2022-09-25,9.809999999999999,2293,5.55,4.26,65,504.0,9.81,0.576,Malagueña,Goat,Veterinarian intervention
1914,750,2022-09-23,9.64,3038,5.53,4.11,0,469.0,9.64,0.57,Malagueña,Goat,Veterinarian intervention
1958,750,2022-10-01,9.81,1812,5.49,4.32,64,482.0,9.81,0.579,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1977,750,2022-10-09,10.309999999999999,1667,6.04,4.27,0,447.0,10.31,0.57,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1978,750,2022-10-07,10.17,1353,5.85,4.32,92,458.0,10.17,0.572,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1992,750,2022-10-15,10.690000000000001,2034,6.37,4.32,0,401.0,10.69,0.566,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
1993,750,2022-10-13,10.489999999999998,2111,6.31,4.18,38,387.0,10.49,0.576,Malagueña,Goat,Veterinarian intervention
2024,750,2022-10-27,10.77,1974,6.48,4.29,0,396.0,10.77,0.57,Malagueña,Goat,"[39, 42]"
2099,750,2022-11-26,11.190000000000001,3564,6.61,4.58,0,479.0,11.19,0.561,Malagueña,Goat,Veterinarian intervention
2100,750,2022-11-24,11.55,2042,7.19,4.36,0,395.0,11.55,0.574,Malagueña,Goat,"[39, 42]"
2129,750,2022-11-30,11.08,1832,6.8,4.28,0,445.0,11.08,0.57,Malagueña,Goat,"[39, 42]"
2130,750,2022-11-28,11.39,2790,6.87,4.52,0,483.0,11.39,0.565,Malagueña,Goat,Veterinarian intervention
1869,750,2022-09-11,9.05,1807,5.23,3.82,0,379.0,9.05,0.554,Malagueña,Goat,1.0
1870,750,2022-09-09,9.3,1611,5.39,3.91,0,357.0,9.3,0.562,Malagueña,Goat,1.0
1880,750,2022-09-13,9.28,1767,5.46,3.82,32,424.0,9.28,0.567,Malagueña,Goat,1.0
2008,750,2022-10-23,10.96,1868,6.68,4.28,0,387.0,10.96,0.559,Malagueña,Goat,"[39, 42]"
2009,750,2022-10-21,10.879999999999999,2758,6.62,4.26,0,364.0,10.88,0.566,Malagueña,Goat,Veterinarian intervention
2166,750,2022-12-14,10.82,2167,5.9,4.92,0,448.0,10.82,0.569,Malagueña,Goat,Veterinarian intervention
2167,750,2022-12-12,11.379999999999999,3147,6.27,5.11,0,480.0,11.38,0.564,Malagueña,Goat,Veterinarian intervention
2062,750,2022-11-12,11.89,3501,7.24,4.65,0,500.0,11.89,0.571,Malagueña,Goat,Veterinarian intervention
2063,750,2022-11-10,11.41,2049,7.05,4.36,0,454.0,11.41,0.57,Malagueña,Goat,"[39, 42]"
2401,750,2023-02-14,9.85,1250,5.58,4.27,48,442.0,9.85,0.575,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2635,750,2023-03-12,8.83,953,5.11,3.72,0,430.0,8.83,0.566,Malagueña,Goat,1.0
2636,750,2023-03-10,8.969999999999999,1040,5.22,3.75,0,454.0,8.97,0.565,Malagueña,Goat,1.0
2087,750,2022-11-22,11.55,2852,6.97,4.58,57,421.0,11.55,0.571,Malagueña,Goat,Veterinarian intervention
2088,750,2022-11-20,11.21,4472,6.59,4.62,82,415.0,11.21,0.575,Malagueña,Goat,Veterinarian intervention
2089,750,2022-11-18,11.25,2548,6.87,4.38,54,402.0,11.25,0.571,Malagueña,Goat,Veterinarian intervention
2650,750,2023-03-14,8.55,981,4.81,3.74,45,453.0,8.55,0.569,Malagueña,Goat,1.0
2674,750,2023-03-18,8.57,1049,4.89,3.68,0,476.0,8.57,0.568,Malagueña,Goat,1.0
2675,750,2023-03-16,8.53,1095,4.85,3.68,0,440.0,8.53,0.564,Malagueña,Goat,1.0
2687,750,2023-03-23,8.47,985,4.86,3.61,94,408.0,8.47,0.571,Malagueña,Goat,1.0
2688,750,2023-03-20,8.41,868,4.81,3.6,18,444.0,8.41,0.566,Malagueña,Goat,1.0
2711,750,2023-03-26,8.290000000000001,980,4.65,3.64,29,449.0,8.29,0.563,Malagueña,Goat,1.0
2712,750,2023-03-24,8.32,927,4.68,3.64,0,441.0,8.32,0.565,Malagueña,Goat,1.0
2546,750,2023-02-26,9.77,1133,5.56,4.21,22,474.0,9.77,0.568,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2547,750,2023-02-24,9.99,1164,5.53,4.46,24,449.0,9.99,0.566,Malagueña,Goat,"[38, 39, 40, 42, 46, 47]"
2569,750,2023-02-28,9.46,822,5.34,4.12,0,411.0,9.46,0.566,Malagueña,Goat,No treatment
2595,750,2023-03-04,9.030000000000001,756,5.15,3.88,0,503.0,9.03,0.562,Malagueña,Goat,1.0
2596,750,2023-03-02,9.200000000000001,799,5.23,3.97,37,474.0,9.2,0.568,Malagueña,Goat,1.0
2604,750,2023-03-08,9.0,882,5.17,3.83,45,468.0,9.0,0.566,Malagueña,Goat,1.0
2605,750,2023-03-06,9.15,820,5.32,3.83,0,459.0,9.15,0.56,Malagueña,Goat,1.0
2736,750,2023-03-30,8.25,900,4.7,3.55,0,335.0,8.25,0.564,Malagueña,Goat,1.0
2729,750,2023-03-28,8.24,1056,4.62,3.62,0,398.0,8.24,0.564,Malagueña,Goat,1.0
2811,750,2023-04-09,8.15,800,4.53,3.62,0,365.0,8.15,0.562,Malagueña,Goat,1.0
2896,750,2023-04-17,7.82,785,4.23,3.59,0,496.0,7.82,0.56,Malagueña,Goat,1.0
3046,750,2023-05-09,7.800000000000001,1528,4.23,3.57,0,591.0,7.8,0.555,Malagueña,Goat,1.0
3150,750,2023-05-23,8.37,1899,4.72,3.65,0,490.0,8.37,0.56,Malagueña,Goat,1.0
3115,750,2023-05-17,7.75,1557,4.19,3.56,0,577.0,7.75,0.556,Malagueña,Goat,1.0
3069,750,2023-05-15,7.52,1154,4.06,3.46,0,588.0,7.52,0.551,Malagueña,Goat,1.0
